respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.1419,0.2731
26708,0.0195,0.0386
26709,0.2648,0.583
26710,0.5245,0.9054
26711,0.3377,0.606
26712,0.5225,0.926
26713,0.2274,0.4761
26714,0.2333,0.3515
26715,0.0136,0.1285
26716,0.2228,0.8823
26717,0.0061,0.3815
26718,0.2276,0.4317
26719,0.1685,0.9392
26720,0.0322,0.0963
26721,0.2391,0.4561
26722,0.1113,0.093
26723,0.8149,0.8606
26724,0.0368,0.5345
26725,0.0233,0.0765
26726,0.0107,0.0256
26727,0.3548,0.7854
26728,0.3314,0.5698
26729,0.026,0.2243
26730,0.0185,0.1699
26731,0.0207,0.3246
26732,0.1958,0.1211
26733,0.9476,0.9738
26734,0.9289,0.4856
26735,0.1185,0.4366
26736,0.1094,0.1555
26737,0.1406,0.1599
26738,0.7907,0.9045
26739,0.1525,0.2388
26740,0.2747,0.1522
26741,0.0905,0.8898
26742,0.2013,0.5723
26743,0.0574,0.4957
26744,0.0181,0.5485
26745,0.0587,0.8878
26746,0.1185,0.4366
26747,0.0384,0.2596
26748,0.0684,0.0504
26749,0.1535,0.6826
26750,0.42,0.8855
26751,0.4514,0.7279
26752,0.0542,0.0307
26753,0.3333,0.664
26754,0.2416,0.5054
26755,0.1421,0.3781
26756,0.0282,0.0458
26757,0.2943,0.4094
26758,0.4348,0.8499
26759,0.0115,0.1642
26760,0.1185,0.4366
26761,0.205,0.611
26762,0.1612,0.8639
26763,0.9273,0.9869
26764,0.9629,0.9756
26765,0.0236,0.5963
26766,0.2233,0.1532
26767,0.8495,0.729
26768,0.0094,0.3421
26769,0.0652,0.1263
26770,0.0942,0.5933
26771,0.0289,0.1281
26772,0.0865,0.4336
26773,0.0402,0.4811
26774,0.0198,0.3981
26775,0.0338,0.4868
26776,0.1185,0.4366
26777,0.2555,0.9178
26778,0.0795,0.1809
26779,0.1247,0.5466
26780,0.0862,0.9334
26781,0.0152,0.3566
26782,0.0618,0.3671
26783,0.0249,0.3494
26784,0.1236,0.8356
26785,0.1185,0.4366
26786,0.0548,0.2046
26787,0.0521,0.371
26788,0.0523,0.8946
26789,0.0443,0.2992
26790,0.0222,0.2646
26791,0.0216,0.0908
26792,0.0697,0.7454
26793,0.1936,0.8922
26794,0.6423,0.8822
26795,0.0445,0.9468
26796,0.083,0.0844
26797,0.2461,0.6093
26798,0.374,0.2093
26799,0.1185,0.4366
26800,0.0757,0.9195
26801,0.1185,0.4366
26802,0.1916,0.2484
26803,0.1185,0.4366
26804,0.0209,0.1019
26805,0.0207,0.2138
26806,0.0334,0.8106
26807,0.1185,0.4366
26808,0.1282,0.5011
26809,0.5023,0.2184
26810,0.0153,0.1086
26811,0.0346,0.0365
26812,0.1951,0.7547
26813,0.5595,0.2978
26814,0.0107,0.3732
26815,0.0236,0.1298
26816,0.0213,0.1372
26817,0.052,0.6409
26818,0.0955,0.298
26819,0.2281,0.3656
26820,0.0482,0.2328
26821,0.046,0.4072
26822,0.0774,0.5677
26823,0.6392,0.5681
26824,0.022,0.5569
26825,0.4468,0.798
26826,0.0247,0.6413
26827,0.0209,0.135
26828,0.093,0.5388
26829,0.7506,0.9294
26830,0.0168,0.5903
26831,0.0748,0.7799
26832,0.0517,0.7185
26833,0.0131,0.4137
26834,0.0715,0.5123
26835,0.1296,0.8769
26836,0.2746,0.6926
26837,0.0506,0.0215
26838,0.1561,0.467
26839,0.1185,0.4366
26840,0.1231,0.1286
26841,0.1185,0.4366
26842,0.1145,0.2563
26843,0.0197,0.01
26844,0.0125,0.4607
26845,0.0512,0.6156
26846,0.0154,0.6507
26847,0.431,0.1197
26848,0.0123,0.6264
26849,0.1999,0.6668
26850,0.4521,0.6741
26851,0.051,0.0565
26852,0.1185,0.4366
26853,0.296,0.3742
26854,0.0078,0.0615
26855,0.3897,0.8837
26856,0.086,0.0224
26857,0.6641,0.1789
26858,0.0496,0.5505
26859,0.0353,0.1109
26860,0.1185,0.4366
26861,0.0303,0.0681
26862,0.0312,0.2171
26863,0.1323,0.3169
26864,0.1913,0.4347
26865,0.0257,0.0409
26866,0.1131,0.6221
26867,0.1976,0.211
26868,0.8811,0.9477
26869,0.0332,0.3444
26870,0.1185,0.4366
26871,0.0262,0.0252
26872,0.0367,0.347
26873,0.105,0.793
26874,0.1185,0.4366
26875,0.3688,0.9107
26876,0.1185,0.4366
26877,0.1557,0.1567
26878,0.1265,0.3405
26879,0.0059,0.0192
26880,0.0281,0.1605
26881,0.0104,0.0787
26882,0.0632,0.1623
26883,0.1144,0.3238
26884,0.1185,0.4366
26885,0.1185,0.4366
26886,0.0289,0.6429
26887,0.7749,0.8937
26888,0.9457,0.9551
26889,0.0192,0.0922
26890,0.0581,0.4428
26891,0.4713,0.5667
26892,0.0521,0.7873
26893,0.0891,0.2339
26894,0.2142,0.3045
26895,0.0191,0.8118
26896,0.0796,0.0974
26897,0.0514,0.415
26898,0.0761,0.5377
26899,0.0354,0.0748
26900,0.1903,0.3936
26901,0.0164,0.3727
26902,0.0868,0.909
26903,0.2207,0.0604
26904,0.0861,0.3956
26905,0.2095,0.6782
26906,0.0234,0.2218
26907,0.0304,0.596
26908,0.0385,0.6267
26909,0.1409,0.4278
26910,0.0486,0.2251
26911,0.108,0.1611
26912,0.5389,0.9644
26913,0.6851,0.8437
26914,0.0338,0.15
26915,0.1185,0.6472
26916,0.0235,0.2512
26917,0.0053,0.0129
26918,0.7692,0.924
26919,0.1784,0.537
26920,0.0186,0.1303
26921,0.2373,0.8606
26922,0.0331,0.6288
26923,0.1185,0.4366
26924,0.8076,0.8989
26925,0.1721,0.6047
26926,0.7434,0.4486
26927,0.426,0.6536
26928,0.1185,0.4366
26929,0.1293,0.1368
26930,0.4765,0.925
26931,0.1743,0.4948
26932,0.1077,0.8412
26933,0.0379,0.6867
26934,0.344,0.6107
26935,0.0668,0.4747
26936,0.2599,0.3297
26937,0.1053,0.6126
26938,0.0369,0.0308
26939,0.0472,0.0291
26940,0.064,0.1749
26941,0.0848,0.4512
26942,0.1185,0.4366
26943,0.1195,0.5703
26944,0.0444,0.168
26945,0.0469,0.4881
26946,0.0714,0.6306
26947,0.1185,0.4366
26948,0.0359,0.0896
26949,0.0082,0.0368
26950,0.1185,0.4366
26951,0.1181,0.367
26952,0.9202,0.9357
26953,0.1185,0.4366
26954,0.0238,0.1357
26955,0.05,0.5457
26956,0.1185,0.4366
26957,0.052,0.8783
26958,0.1096,0.6971
26959,0.0508,0.1944
26960,0.0161,0.0315
26961,0.2194,0.5266
26962,0.1185,0.4366
26963,0.0607,0.2212
26964,0.0478,0.1879
26965,0.6056,0.9456
26966,0.1185,0.4366
26967,0.1185,0.4366
26968,0.0395,0.8013
26969,0.0737,0.2643
26970,0.778,0.5091
26971,0.1325,0.3631
26972,0.0123,0.0262
26973,0.0685,0.121
26974,0.188,0.344
26975,0.1105,0.6507
26976,0.9496,0.535
26977,0.1185,0.4366
26978,0.04,0.7594
26979,0.4543,0.7209
26980,0.0197,0.1031
26981,0.0406,0.2264
26982,0.7079,0.9098
26983,0.1449,0.5152
26984,0.0339,0.1065
26985,0.0103,0.0812
26986,0.0681,0.5447
26987,0.0299,0.1401
26988,0.0096,0.1051
26989,0.2676,0.7943
26990,0.0066,0.0507
26991,0.202,0.4728
26992,0.4444,0.5538
26993,0.0425,0.7933
26994,0.2222,0.421
26995,0.0968,0.4074
26996,0.4534,0.4462
26997,0.0077,0.068
26998,0.0226,0.0761
26999,0.226,0.3745
27000,0.0686,0.2837
27001,0.0215,0.6166
27002,0.0338,0.2872
27003,0.0127,0.0442
27004,0.1185,0.4366
27005,0.1658,0.6798
27006,0.8706,0.9339
27007,0.0308,0.1501
27008,0.0342,0.0347
27009,0.133,0.3016
27010,0.0438,0.1523
27011,0.049,0.1477
27012,0.3011,0.6492
27013,0.1716,0.4412
27014,0.0388,0.4201
27015,0.1185,0.4366
27016,0.0546,0.3258
27017,0.5668,0.8196
27018,0.0545,0.2163
27019,0.9202,0.9723
27020,0.3142,0.2389
27021,0.2161,0.6202
27022,0.0705,0.2234
27023,0.0779,0.131
27024,0.0353,0.2816
27025,0.1243,0.0297
27026,0.0386,0.4186
27027,0.0195,0.6311
27028,0.4311,0.8512
27029,0.1165,0.3052
27030,0.1185,0.4366
27031,0.437,0.8474
27032,0.0928,0.4413
27033,0.3575,0.7905
27034,0.0046,0.5504
27035,0.1781,0.3249
27036,0.2973,0.6956
27037,0.7577,0.8035
27038,0.0206,0.0232
27039,0.5058,0.8578
27040,0.0848,0.0858
27041,0.0288,0.4239
27042,0.0542,0.5938
27043,0.623,0.854
27044,0.0037,0.0247
27045,0.0524,0.5945
27046,0.083,0.1503
27047,0.1185,0.4366
27048,0.0925,0.2733
27049,0.1044,0.9272
27050,0.0465,0.5644
27051,0.1185,0.4366
27052,0.0391,0.2815
27053,0.1185,0.4366
27054,0.0141,0.0863
27055,0.0405,0.8
27056,0.0551,0.0633
27057,0.0128,0.0375
27058,0.1185,0.4366
27059,0.1183,0.3332
27060,0.0357,0.4171
27061,0.0318,0.4828
27062,0.1297,0.4267
27063,0.0466,0.5219
27064,0.1185,0.4366
27065,0.0898,0.2925
27066,0.1402,0.6858
27067,0.4732,0.7043
27068,0.7548,0.9365
27069,0.5461,0.9521
27070,0.0253,0.1084
27071,0.1185,0.4366
27072,0.1398,0.7104
27073,0.065,0.8252
27074,0.0723,0.3771
27075,0.6075,0.8367
27076,0.7539,0.8063
27077,0.0606,0.1069
27078,0.0914,0.8463
27079,0.197,0.8926
27080,0.1382,0.2983
27081,0.0323,0.7391
27082,0.3734,0.5068
27083,0.0843,0.2762
27084,0.8715,0.7462
27085,0.0196,0.0119
27086,0.0307,0.0539
27087,0.0987,0.2405
27088,0.2926,0.8384
27089,0.2953,0.273
27090,0.3388,0.5652
27091,0.8246,0.1463
27092,0.1162,0.3141
27093,0.2767,0.2999
27094,0.0028,0.0317
27095,0.0208,0.3764
27096,0.0317,0.2791
27097,0.5292,0.6824
27098,0.7305,0.9046
27099,0.2661,0.5585
27100,0.0439,0.6075
27101,0.1185,0.4366
27102,0.1631,0.8418
27103,0.0095,0.0794
27104,0.4686,0.5443
27105,0.0145,0.4568
27106,0.7155,0.9057
27107,0.5769,0.7755
27108,0.1185,0.4366
27109,0.1191,0.2858
27110,0.0312,0.4701
27111,0.0718,0.3982
27112,0.3018,0.7133
